country,year,population
Angola,1989,11500000
Antigua and Barbuda,1989,62000
Argentina,1989,32100000
Armenia,1989,3540000
Australia,1989,16700000
Austria,1989,7690000
Azerbaijan,1989,7130000
Bahamas,1989,252000
Bahrain,1989,481000
Bangladesh,1989,101000000
Barbados,1989,260000
Belarus,1989,10100000
Belgium,1989,9980000
Belize,1989,183000
Benin,1989,4820000
Bhutan,1989,522000
Bolivia,1989,6720000
Bosnia and Herzegovina,1989,4510000
Botswana,1989,1240000
Brazil,1989,146000000
Brunei,1989,251000
Bulgaria,1989,8900000
Burkina Faso,1989,8580000
Burundi,1989,5310000
Cambodia,1989,8690000
Cameroon,1989,11400000
Canada,1989,27200000
Cape Verde,1989,331000
Central African Republic,1989,2750000
Chad,1989,5770000
Chile,1989,13100000
China,1989,1160000000
Colombia,1989,32500000
Comoros,1989,400000
"Congo, Dem. Rep.",1989,33500000
"Congo, Rep.",1989,2290000
Costa Rica,1989,3040000
Cote d'Ivoire,1989,11500000
Croatia,1989,4780000
Cuba,1989,10500000
Cyprus,1989,751000
Czech Republic,1989,10300000
Denmark,1989,5130000
Djibouti,1989,564000
Dominica,1989,70700
Dominican Republic,1989,7000000
Ecuador,1989,9990000
Egypt,1989,54800000
El Salvador,1989,5200000
Equatorial Guinea,1989,407000
Eritrea,1989,2230000
Estonia,1989,1570000
Ethiopia,1989,46300000
Fiji,1989,725000
Finland,1989,4980000
France,1989,56400000
Gabon,1989,924000
Gambia,1989,916000
Georgia,1989,5410000
Germany,1989,78700000
Ghana,1989,14400000
Greece,1989,10200000
Grenada,1989,96900
Guatemala,1989,9050000
Guinea,1989,6170000
Guinea-Bissau,1989,954000
Guyana,1989,746000
Haiti,1989,6900000
Holy See,1989,759
Honduras,1989,4810000
Hungary,1989,10400000
Iceland,1989,252000
India,1989,855000000
Indonesia,1989,178000000
Iran,1989,54800000
Iraq,1989,17000000
Ireland,1989,3510000
Israel,1989,4330000
Italy,1989,57000000
Jamaica,1989,2400000
Japan,1989,124000000
Jordan,1989,3400000
Kazakhstan,1989,16300000
Kenya,1989,22900000
Kiribati,1989,70800
Kuwait,1989,2090000
Kyrgyz Republic,1989,4310000
Lao,1989,4140000
Latvia,1989,2660000
Lebanon,1989,2730000
Lesotho,1989,1670000
Liberia,1989,2110000
Libya,1989,4330000
Liechtenstein,1989,28400
Lithuania,1989,3680000
Luxembourg,1989,378000
Madagascar,1989,11300000
Malawi,1989,9080000
Malaysia,1989,17500000
Maldives,1989,217000
Mali,1989,8300000
Malta,1989,359000
Marshall Islands,1989,45800
Mauritania,1989,1980000
Mauritius,1989,1050000
Mexico,1989,82400000
"Micronesia, Fed. Sts.",1989,94100
Moldova,1989,4350000
Monaco,1989,29300
Mongolia,1989,2140000
Montenegro,1989,615000
Morocco,1989,24400000
Mozambique,1989,12800000
Myanmar,1989,40700000
Namibia,1989,1390000
Nauru,1989,9280
Nepal,1989,18400000
Netherlands,1989,14900000
New Zealand,1989,3360000
Nicaragua,1989,4080000
Niger,1989,7780000
Nigeria,1989,92800000
North Korea,1989,20000000
North Macedonia,1989,2000000
Norway,1989,4230000
Oman,1989,1740000
Pakistan,1989,105000000
Palau,1989,14700
Palestine,1989,2020000
Panama,1989,2420000
Papua New Guinea,1989,4510000
Paraguay,1989,4110000
Peru,1989,21600000
Philippines,1989,60300000
Poland,1989,37800000
Portugal,1989,9890000
Qatar,1989,462000
Romania,1989,23500000
Russia,1989,147000000
Rwanda,1989,7280000
Samoa,1989,162000
San Marino,1989,23800
Sao Tome and Principe,1989,116000
Saudi Arabia,1989,15700000
Senegal,1989,7300000
Serbia,1989,9450000
Seychelles,1989,70100
Sierra Leone,1989,4250000
Singapore,1989,2940000
Slovak Republic,1989,5270000
Slovenia,1989,2000000
Solomon Islands,1989,303000
Somalia,1989,7130000
South Africa,1989,35900000
South Korea,1989,42500000
South Sudan,1989,5510000
Spain,1989,39100000
Sri Lanka,1989,17100000
St. Kitts and Nevis,1989,40400
St. Lucia,1989,136000
St. Vincent and the Grenadines,1989,107000
Sudan,1989,19500000
Suriname,1989,397000
Swaziland,1989,798000
Sweden,1989,8510000
Switzerland,1989,6600000
Syria,1989,12100000
Tajikistan,1989,5150000
Tanzania,1989,24400000
Thailand,1989,55800000
Timor-Leste,1989,719000
Togo,1989,3680000
Tonga,1989,94800
Trinidad and Tobago,1989,1210000
Tunisia,1989,8060000
Turkey,1989,53000000
Turkmenistan,1989,3590000
Tuvalu,1989,8790
Uganda,1989,16800000
Ukraine,1989,51400000
United Arab Emirates,1989,1730000
United Kingdom,1989,57000000
United States,1989,250000000
Uruguay,1989,3090000
Uzbekistan,1989,19900000
Vanuatu,1989,143000
Venezuela,1989,19200000
Vietnam,1989,66600000
Yemen,1989,11200000
Zambia,1989,7820000
Zimbabwe,1989,10200000
Afghanistan,1990,12400000
Albania,1990,3290000
Algeria,1990,25800000
Andorra,1990,54500
Angola,1990,11800000
Antigua and Barbuda,1990,62500
Argentina,1990,32600000
Armenia,1990,3540000
Australia,1990,17000000
Austria,1990,7720000
Azerbaijan,1990,7240000
Bahamas,1990,256000
Bahrain,1990,496000
Bangladesh,1990,103000000
Barbados,1990,261000
Belarus,1990,10200000
Belgium,1990,10000000
Belize,1990,188000
Benin,1990,4980000
Bhutan,1990,531000
Bolivia,1990,6860000
Bosnia and Herzegovina,1990,4460000
Botswana,1990,1290000
Brazil,1990,149000000
Brunei,1990,259000
Bulgaria,1990,8840000
Burkina Faso,1990,8810000
Burundi,1990,5440000
Cambodia,1990,8980000
Cameroon,1990,11800000
Canada,1990,27500000
Cape Verde,1990,338000
Central African Republic,1990,2810000
Chad,1990,5960000
Chile,1990,13300000
China,1990,1180000000
Colombia,1990,33100000
Comoros,1990,412000
"Congo, Dem. Rep.",1990,34600000
"Congo, Rep.",1990,2360000
Costa Rica,1990,3120000
Cote d'Ivoire,1990,11900000
Croatia,1990,4780000
Cuba,1990,10600000
Cyprus,1990,767000
Czech Republic,1990,10300000
Denmark,1990,5140000
Djibouti,1990,590000
Dominica,1990,70400
Dominican Republic,1990,7130000
Ecuador,1990,10200000
Egypt,1990,56100000
El Salvador,1990,5270000
Equatorial Guinea,1990,419000
Eritrea,1990,2260000
Estonia,1990,1570000
Ethiopia,1990,47900000
Fiji,1990,729000
Finland,1990,5000000
France,1990,56700000
Gabon,1990,949000
Gambia,1990,956000
Georgia,1990,5410000
Germany,1990,79100000
Ghana,1990,14800000
Greece,1990,10200000
Grenada,1990,96300
Guatemala,1990,9260000
Guinea,1990,6350000
Guinea-Bissau,1990,975000
Guyana,1990,743000
Haiti,1990,7040000
Holy See,1990,762
Honduras,1990,4960000
Hungary,1990,10400000
Iceland,1990,255000
India,1990,873000000
Indonesia,1990,181000000
Iran,1990,56400000
Iraq,1990,17400000
Ireland,1990,3510000
Israel,1990,4450000
Italy,1990,57000000
Jamaica,1990,2420000
Japan,1990,125000000
Jordan,1990,3570000
Kazakhstan,1990,16400000
Kenya,1990,23700000
Kiribati,1990,72400
Kuwait,1990,2100000
Kyrgyz Republic,1990,4370000
Lao,1990,4260000
Latvia,1990,2660000
Lebanon,1990,2800000
Lesotho,1990,1700000
Liberia,1990,2080000
Libya,1990,4440000
Liechtenstein,1990,28800
Lithuania,1990,3700000
Luxembourg,1990,382000
Madagascar,1990,11600000
Malawi,1990,9400000
Malaysia,1990,18000000
Maldives,1990,223000
Mali,1990,8450000
Malta,1990,362000
Marshall Islands,1990,47300
Mauritania,1990,2030000
Mauritius,1990,1060000
Mexico,1990,83900000
"Micronesia, Fed. Sts.",1990,96300
Moldova,1990,4370000
Monaco,1990,29400
Mongolia,1990,2180000
Montenegro,1990,615000
Morocco,1990,24800000
Mozambique,1990,13000000
Myanmar,1990,41300000
Namibia,1990,1430000
Nauru,1990,9510
Nepal,1990,18900000
Netherlands,1990,15000000
New Zealand,1990,3400000
Nicaragua,1990,4170000
Niger,1990,8030000
Nigeria,1990,95200000
North Korea,1990,20300000
North Macedonia,1990,2000000
Norway,1990,4250000
Oman,1990,1810000
Pakistan,1990,108000000
Palau,1990,15100
Palestine,1990,2100000
Panama,1990,2470000
Papua New Guinea,1990,4620000
Paraguay,1990,4220000
Peru,1990,22100000
Philippines,1990,61900000
Poland,1990,38000000
Portugal,1990,9900000
Qatar,1990,476000
Romania,1990,23500000
Russia,1990,148000000
Rwanda,1990,7290000
Samoa,1990,163000
San Marino,1990,24100
Sao Tome and Principe,1990,119000
Saudi Arabia,1990,16200000
Senegal,1990,7530000
Serbia,1990,9520000
Seychelles,1990,70600
Sierra Leone,1990,4320000
Singapore,1990,3010000
Slovak Republic,1990,5290000
Slovenia,1990,2010000
Solomon Islands,1990,312000
Somalia,1990,7230000
South Africa,1990,36800000
South Korea,1990,42900000
South Sudan,1990,5490000
Spain,1990,39200000
Sri Lanka,1990,17300000
St. Kitts and Nevis,1990,40300
St. Lucia,1990,138000
St. Vincent and the Grenadines,1990,107000
Sudan,1990,20100000
Suriname,1990,405000
Swaziland,1990,822000
Sweden,1990,8570000
Switzerland,1990,6650000
Syria,1990,12400000
Tajikistan,1990,5280000
Tanzania,1990,25200000
Thailand,1990,56600000
Timor-Leste,1990,738000
Togo,1990,3770000
Tonga,1990,95100
Trinidad and Tobago,1990,1220000
Tunisia,1990,8240000
Turkey,1990,53900000
Turkmenistan,1990,3680000
Tuvalu,1990,8910
Uganda,1990,17400000
Ukraine,1990,51500000
United Arab Emirates,1990,1830000
United Kingdom,1990,57100000
United States,1990,252000000
Uruguay,1990,3110000
Uzbekistan,1990,20400000
Vanuatu,1990,147000
Venezuela,1990,19600000
Vietnam,1990,68000000
Yemen,1990,11700000
Zambia,1990,8040000
Zimbabwe,1990,10400000
Afghanistan,1991,13300000
Albania,1991,3280000
Algeria,1991,26400000
Andorra,1991,56700
Angola,1991,12200000
Antigua and Barbuda,1991,63400
Argentina,1991,33100000
Armenia,1991,3510000
Australia,1991,17200000
Austria,1991,7770000
Azerbaijan,1991,7360000
Bahamas,1991,261000
Bahrain,1991,510000
Bangladesh,1991,106000000
Barbados,1991,262000
Belarus,1991,10200000
Belgium,1991,10000000
Belize,1991,191000
Benin,1991,5150000
Bhutan,1991,535000
Bolivia,1991,7010000
Bosnia and Herzegovina,1991,4370000
Botswana,1991,1330000
Brazil,1991,152000000
Brunei,1991,266000
Bulgaria,1991,8770000
Burkina Faso,1991,9050000
Burundi,1991,5560000
Cambodia,1991,9290000
Cameroon,1991,12100000
Canada,1991,27900000
Cape Verde,1991,346000
Central African Republic,1991,2880000
Chad,1991,6160000
Chile,1991,13500000
China,1991,1190000000
Colombia,1991,33800000
Comoros,1991,424000
"Congo, Dem. Rep.",1991,35900000
"Congo, Rep.",1991,2420000
Costa Rica,1991,3200000
Cote d'Ivoire,1991,12400000
Croatia,1991,4760000
Cuba,1991,10700000
Cyprus,1991,783000
Czech Republic,1991,10300000
Denmark,1991,5150000
Djibouti,1991,607000
Dominica,1991,70400
Dominican Republic,1991,7270000
Ecuador,1991,10500000
Egypt,1991,57400000
El Salvador,1991,5340000
Equatorial Guinea,1991,433000
Eritrea,1991,2270000
Estonia,1991,1550000
Ethiopia,1991,49600000
Fiji,1991,735000
Finland,1991,5020000
France,1991,56900000
Gabon,1991,976000
Gambia,1991,993000
Georgia,1991,5370000
Germany,1991,79500000
Ghana,1991,15200000
Greece,1991,10300000
Grenada,1991,96500
Guatemala,1991,9480000
Guinea,1991,6530000
Guinea-Bissau,1991,998000
Guyana,1991,744000
Haiti,1991,7180000
Holy See,1991,762
Honduras,1991,5100000
Hungary,1991,10400000
Iceland,1991,258000
India,1991,891000000
Indonesia,1991,185000000
Iran,1991,57700000
Iraq,1991,17900000
Ireland,1991,3520000
Israel,1991,4590000
Italy,1991,57100000
Jamaica,1991,2440000
Japan,1991,125000000
Jordan,1991,3760000
Kazakhstan,1991,16400000
Kenya,1991,24500000
Kiribati,1991,73700
Kuwait,1991,2030000
Kyrgyz Republic,1991,4420000
Lao,1991,4380000
Latvia,1991,2650000
Lebanon,1991,2920000
Lesotho,1991,1740000
Liberia,1991,2040000
Libya,1991,4540000
Liechtenstein,1991,29200
Lithuania,1991,3700000
Luxembourg,1991,386000
Madagascar,1991,11900000
Malawi,1991,9600000
Malaysia,1991,18500000
Maldives,1991,230000
Mali,1991,8640000
Malta,1991,365000
Marshall Islands,1991,48400
Mauritania,1991,2090000
Mauritius,1991,1070000
Mexico,1991,85500000
"Micronesia, Fed. Sts.",1991,98800
Moldova,1991,4380000
Monaco,1991,29600
Mongolia,1991,2220000
Montenegro,1991,616000
Morocco,1991,25300000
Mozambique,1991,13300000
Myanmar,1991,41900000
Namibia,1991,1480000
Nauru,1991,9770
Nepal,1991,19400000
Netherlands,1991,15100000
New Zealand,1991,3450000
Nicaragua,1991,4270000
Niger,1991,8290000
Nigeria,1991,97700000
North Korea,1991,20600000
North Macedonia,1991,1990000
Norway,1991,4270000
Oman,1991,1890000
Pakistan,1991,111000000
Palau,1991,15400
Palestine,1991,2190000
Panama,1991,2520000
Papua New Guinea,1991,4730000
Paraguay,1991,4330000
Peru,1991,22500000
Philippines,1991,63500000
Poland,1991,38100000
Portugal,1991,9920000
Qatar,1991,487000
Romania,1991,23500000
Russia,1991,148000000
Rwanda,1991,7080000
Samoa,1991,164000
San Marino,1991,24500
Sao Tome and Principe,1991,122000
Saudi Arabia,1991,16800000
Senegal,1991,7760000
Serbia,1991,9600000
Seychelles,1991,71400
Sierra Leone,1991,4350000
Singapore,1991,3100000
Slovak Republic,1991,5310000
Slovenia,1991,2010000
Solomon Islands,1991,321000
Somalia,1991,7270000
South Africa,1991,37700000
South Korea,1991,43400000
South Sudan,1991,5420000
Spain,1991,39300000
Sri Lanka,1991,17500000
St. Kitts and Nevis,1991,40400
St. Lucia,1991,140000
St. Vincent and the Grenadines,1991,108000
Sudan,1991,20900000
Suriname,1991,413000
Swaziland,1991,845000
Sweden,1991,8630000
Switzerland,1991,6720000
Syria,1991,12800000
Tajikistan,1991,5400000
Tanzania,1991,26100000
Thailand,1991,57200000
Timor-Leste,1991,760000
Togo,1991,3860000
Tonga,1991,95200
Trinidad and Tobago,1991,1230000
Tunisia,1991,8430000
Turkey,1991,54800000
Turkmenistan,1991,3790000
Tuvalu,1991,9010
Uganda,1991,18000000
Ukraine,1991,51500000
United Arab Emirates,1991,1940000
United Kingdom,1991,57300000
United States,1991,255000000
Uruguay,1991,3130000
Uzbekistan,1991,20900000
Vanuatu,1991,151000
Venezuela,1991,20100000
Vietnam,1991,69400000
Yemen,1991,12300000
Zambia,1991,8250000
Zimbabwe,1991,10700000
Afghanistan,1992,14500000
Albania,1992,3250000
Algeria,1992,27000000
Andorra,1992,58900
Angola,1992,12700000
Antigua and Barbuda,1992,64500
Argentina,1992,33500000
Armenia,1992,3440000
Australia,1992,17400000
Austria,1992,7830000
Azerbaijan,1992,7470000
Bahamas,1992,266000
Bahrain,1992,523000
Bangladesh,1992,108000000
Barbados,1992,263000
Belarus,1992,10200000
Belgium,1992,10100000
Belize,1992,194000
Benin,1992,5330000
Bhutan,1992,535000
Bolivia,1992,7160000
Bosnia and Herzegovina,1992,4230000
Botswana,1992,1360000
Brazil,1992,154000000
Brunei,1992,274000
Bulgaria,1992,8680000
Burkina Faso,1992,9300000
Burundi,1992,5690000
Cambodia,1992,9620000
Cameroon,1992,12500000
Canada,1992,28200000
Cape Verde,1992,356000
Central African Republic,1992,2960000
Chad,1992,6360000
Chile,1992,13700000
China,1992,1210000000
Colombia,1992,34400000
Comoros,1992,436000
"Congo, Dem. Rep.",1992,37300000
"Congo, Rep.",1992,2490000
Costa Rica,1992,3290000
Cote d'Ivoire,1992,12800000
Croatia,1992,4730000
Cuba,1992,10700000
Cyprus,1992,801000
Czech Republic,1992,10400000
Denmark,1992,5170000
Djibouti,1992,615000
Dominica,1992,70500
Dominican Republic,1992,7410000
Ecuador,1992,10700000
Egypt,1992,58700000
El Salvador,1992,5420000
Equatorial Guinea,1992,447000
Eritrea,1992,2260000
Estonia,1992,1520000
Ethiopia,1992,51400000
Fiji,1992,744000
Finland,1992,5040000
France,1992,57100000
Gabon,1992,1000000
Gambia,1992,1030000
Georgia,1992,5300000
Germany,1992,80000000
Ghana,1992,15700000
Greece,1992,10400000
Grenada,1992,97200
Guatemala,1992,9710000
Guinea,1992,6720000
Guinea-Bissau,1992,1020000
Guyana,1992,749000
Haiti,1992,7320000
Holy See,1992,773
Honduras,1992,5240000
Hungary,1992,10400000
Iceland,1992,260000
India,1992,909000000
Indonesia,1992,188000000
Iran,1992,58800000
Iraq,1992,18400000
Ireland,1992,3530000
Israel,1992,4750000
Italy,1992,57100000
Jamaica,1992,2460000
Japan,1992,125000000
Jordan,1992,3980000
Kazakhstan,1992,16300000
Kenya,1992,25300000
Kiribati,1992,74800
Kuwait,1992,1910000
Kyrgyz Republic,1992,4450000
Lao,1992,4500000
Latvia,1992,2620000
Lebanon,1992,3080000
Lesotho,1992,1780000
Liberia,1992,2000000
Libya,1992,4650000
Liechtenstein,1992,29600
Lithuania,1992,3690000
Luxembourg,1992,391000
Madagascar,1992,12300000
Malawi,1992,9690000
Malaysia,1992,19000000
Maldives,1992,236000
Mali,1992,8850000
Malta,1992,368000
Marshall Islands,1992,49200
Mauritania,1992,2140000
Mauritius,1992,1080000
Mexico,1992,87100000
"Micronesia, Fed. Sts.",1992,101000
Moldova,1992,4380000
Monaco,1992,29900
Mongolia,1992,2240000
Montenegro,1992,617000
Morocco,1992,25700000
Mozambique,1992,13800000
Myanmar,1992,42400000
Namibia,1992,1520000
Nauru,1992,10000
Nepal,1992,19900000
Netherlands,1992,15200000
New Zealand,1992,3500000
Nicaragua,1992,4360000
Niger,1992,8570000
Nigeria,1992,100000000
North Korea,1992,20900000
North Macedonia,1992,1990000
Norway,1992,4290000
Oman,1992,1980000
Pakistan,1992,114000000
Palau,1992,15900
Palestine,1992,2290000
Panama,1992,2580000
Papua New Guinea,1992,4840000
Paraguay,1992,4450000
Peru,1992,23000000
Philippines,1992,65000000
Poland,1992,38200000
Portugal,1992,9950000
Qatar,1992,495000
Romania,1992,23400000
Russia,1992,148000000
Rwanda,1992,6700000
Samoa,1992,165000
San Marino,1992,24800
Sao Tome and Principe,1992,125000
Saudi Arabia,1992,17300000
Senegal,1992,7990000
Serbia,1992,9700000
Seychelles,1992,72700
Sierra Leone,1992,4350000
Singapore,1992,3200000
Slovak Republic,1992,5330000
Slovenia,1992,2010000
Solomon Islands,1992,330000
Somalia,1992,7300000
South Africa,1992,38700000
South Korea,1992,43800000
South Sudan,1992,5310000
Spain,1992,39400000
Sri Lanka,1992,17700000
St. Kitts and Nevis,1992,40700
St. Lucia,1992,142000
St. Vincent and the Grenadines,1992,108000
Sudan,1992,21700000
Suriname,1992,421000
Swaziland,1992,867000
Sweden,1992,8690000
Switzerland,1992,6790000
Syria,1992,13200000
Tajikistan,1992,5500000
Tanzania,1992,27000000
Thailand,1992,57800000
Timor-Leste,1992,783000
Togo,1992,3950000
Tonga,1992,95400
Trinidad and Tobago,1992,1240000
Tunisia,1992,8610000
Turkey,1992,55700000
Turkmenistan,1992,3900000
Tuvalu,1992,9110
Uganda,1992,18600000
Ukraine,1992,51400000
United Arab Emirates,1992,2050000
United Kingdom,1992,57400000
United States,1992,257000000
Uruguay,1992,3150000
Uzbekistan,1992,21400000
Vanuatu,1992,155000
Venezuela,1992,20600000
Vietnam,1992,70900000
Yemen,1992,13000000
Zambia,1992,8450000
Zimbabwe,1992,10900000
Afghanistan,1993,15800000
Albania,1993,3200000
Algeria,1993,27600000
Andorra,1993,61000
Angola,1993,13100000
Antigua and Barbuda,1993,65800
Argentina,1993,34000000
Armenia,1993,3360000
Australia,1993,17600000
Austria,1993,7890000
Azerbaijan,1993,7580000
Bahamas,1993,271000
Bahrain,1993,536000
Bangladesh,1993,110000000
Barbados,1993,264000
Belarus,1993,10100000
Belgium,1993,10100000
Belize,1993,198000
Benin,1993,5520000
Bhutan,1993,533000
Bolivia,1993,7310000
Bosnia and Herzegovina,1993,4080000
Botswana,1993,1400000
Brazil,1993,157000000
Brunei,1993,282000
Bulgaria,1993,8580000
Burkina Faso,1993,9550000
Burundi,1993,5800000
Cambodia,1993,9970000
Cameroon,1993,12900000
Canada,1993,28500000
Cape Verde,1993,366000
Central African Republic,1993,3050000
Chad,1993,6560000
Chile,1993,13900000
China,1993,1220000000
Colombia,1993,35100000
Comoros,1993,449000
"Congo, Dem. Rep.",1993,38800000
"Congo, Rep.",1993,2560000
Costa Rica,1993,3370000
Cote d'Ivoire,1993,13300000
Croatia,1993,4700000
Cuba,1993,10800000
Cyprus,1993,819000
Czech Republic,1993,10400000
Denmark,1993,5190000
Djibouti,1993,619000
Dominica,1993,70800
Dominican Republic,1993,7550000
Ecuador,1993,11000000
Egypt,1993,59900000
El Salvador,1993,5490000
Equatorial Guinea,1993,463000
Eritrea,1993,2240000
Estonia,1993,1490000
Ethiopia,1993,53300000
Fiji,1993,755000
Finland,1993,5070000
France,1993,57400000
Gabon,1993,1030000
Gambia,1993,1060000
Georgia,1993,5210000
Germany,1993,80400000
Ghana,1993,16100000
Greece,1993,10500000
Grenada,1993,98200
Guatemala,1993,9940000
Guinea,1993,6900000
Guinea-Bissau,1993,1040000
Guyana,1993,754000
Haiti,1993,7460000
Holy See,1993,780
Honduras,1993,5390000
Hungary,1993,10400000
Iceland,1993,263000
India,1993,927000000
Indonesia,1993,191000000
Iran,1993,59700000
Iraq,1993,19000000
Ireland,1993,3550000
Israel,1993,4930000
Italy,1993,57200000
Jamaica,1993,2480000
Japan,1993,126000000
Jordan,1993,4200000
Kazakhstan,1993,16200000
Kenya,1993,26100000
Kiribati,1993,75700
Kuwait,1993,1770000
Kyrgyz Republic,1993,4480000
Lao,1993,4620000
Latvia,1993,2580000
Lebanon,1993,3250000
Lesotho,1993,1820000
Liberia,1993,1980000
Libya,1993,4760000
Liechtenstein,1993,30000
Lithuania,1993,3670000
Luxembourg,1993,397000
Madagascar,1993,12700000
Malawi,1993,9710000
Malaysia,1993,19500000
Maldives,1993,243000
Mali,1993,9090000
Malta,1993,371000
Marshall Islands,1993,49800
Mauritania,1993,2200000
Mauritius,1993,1100000
Mexico,1993,88600000
"Micronesia, Fed. Sts.",1993,104000
Moldova,1993,4370000
Monaco,1993,30100
Mongolia,1993,2260000
Montenegro,1993,619000
Morocco,1993,26200000
Mozambique,1993,14400000
Myanmar,1993,42900000
Namibia,1993,1560000
Nauru,1993,10300
Nepal,1993,20500000
Netherlands,1993,15300000
New Zealand,1993,3560000
Nicaragua,1993,4460000
Niger,1993,8860000
Nigeria,1993,103000000
North Korea,1993,21300000
North Macedonia,1993,1980000
Norway,1993,4320000
Oman,1993,2070000
Pakistan,1993,117000000
Palau,1993,16300
Palestine,1993,2390000
Panama,1993,2630000
Papua New Guinea,1993,4950000
Paraguay,1993,4560000
Peru,1993,23400000
Philippines,1993,66600000
Poland,1993,38300000
Portugal,1993,10000000
Qatar,1993,501000
Romania,1993,23300000
Russia,1993,148000000
Rwanda,1993,6260000
Samoa,1993,167000
San Marino,1993,25200
Sao Tome and Principe,1993,127000
Saudi Arabia,1993,17800000
Senegal,1993,8230000
Serbia,1993,9800000
Seychelles,1993,74100
Sierra Leone,1993,4330000
Singapore,1993,3310000
Slovak Republic,1993,5350000
Slovenia,1993,2000000
Solomon Islands,1993,340000
Somalia,1993,7320000
South Africa,1993,39600000
South Korea,1993,44300000
South Sudan,1993,5190000
Spain,1993,39500000
Sri Lanka,1993,17900000
St. Kitts and Nevis,1993,41100
St. Lucia,1993,143000
St. Vincent and the Grenadines,1993,108000
Sudan,1993,22500000
Suriname,1993,428000
Swaziland,1993,888000
Sweden,1993,8750000
Switzerland,1993,6870000
Syria,1993,13600000
Tajikistan,1993,5590000
Tanzania,1993,27900000
Thailand,1993,58300000
Timor-Leste,1993,807000
Togo,1993,4030000
Tonga,1993,95600
Trinidad and Tobago,1993,1240000
Tunisia,1993,8800000
Turkey,1993,56700000
Turkmenistan,1993,4010000
Tuvalu,1993,9190
Uganda,1993,19200000
Ukraine,1993,51300000
United Arab Emirates,1993,2170000
United Kingdom,1993,57600000
United States,1993,260000000
Uruguay,1993,3180000
Uzbekistan,1993,21900000
Vanuatu,1993,160000
Venezuela,1993,21000000
Vietnam,1993,72300000
Yemen,1993,13600000
Zambia,1993,8660000
Zimbabwe,1993,11100000
Afghanistan,1994,17100000
Albania,1994,3150000
Algeria,1994,28200000
Andorra,1994,62700
Angola,1994,13500000
Antigua and Barbuda,1994,67200
Argentina,1994,34400000
Armenia,1994,3280000
Australia,1994,17800000
Austria,1994,7950000
Azerbaijan,1994,7680000
Bahamas,1994,276000
Bahrain,1994,550000
Bangladesh,1994,113000000
Barbados,1994,265000
Belarus,1994,10100000
Belgium,1994,10200000
Belize,1994,202000
Benin,1994,5710000
Bhutan,1994,532000
Bolivia,1994,7470000
Bosnia and Herzegovina,1994,3940000
Botswana,1994,1430000
Brazil,1994,159000000
Brunei,1994,289000
Bulgaria,1994,8470000
Burkina Faso,1994,9820000
Burundi,1994,5900000
Cambodia,1994,10300000
Cameroon,1994,13200000
Canada,1994,28900000
Cape Verde,1994,376000
Central African Republic,1994,3140000
Chad,1994,6780000
Chile,1994,14200000
China,1994,1230000000
Colombia,1994,35800000
Comoros,1994,462000
"Congo, Dem. Rep.",1994,40300000
"Congo, Rep.",1994,2630000
Costa Rica,1994,3460000
Cote d'Ivoire,1994,13700000
Croatia,1994,4660000
Cuba,1994,10800000
Cyprus,1994,837000
Czech Republic,1994,10400000
Denmark,1994,5210000
Djibouti,1994,622000
Dominica,1994,71000
Dominican Republic,1994,7680000
Ecuador,1994,11200000
Egypt,1994,61100000
El Salvador,1994,5560000
Equatorial Guinea,1994,479000
Eritrea,1994,2220000
Estonia,1994,1460000
Ethiopia,1994,55200000
Fiji,1994,766000
Finland,1994,5100000
France,1994,57600000
Gabon,1994,1060000
Gambia,1994,1090000
Georgia,1994,5100000
Germany,1994,80800000
Ghana,1994,16600000
Greece,1994,10600000
Grenada,1994,99300
Guatemala,1994,10200000
Guinea,1994,7080000
Guinea-Bissau,1994,1070000
Guyana,1994,759000
Haiti,1994,7600000
Holy See,1994,777
Honduras,1994,5550000
Hungary,1994,10400000
Iceland,1994,265000
India,1994,946000000
Indonesia,1994,194000000
Iran,1994,60600000
Iraq,1994,19500000
Ireland,1994,3570000
Israel,1994,5110000
Italy,1994,57200000
Jamaica,1994,2510000
Japan,1994,126000000
Jordan,1994,4410000
Kazakhstan,1994,16000000
Kenya,1994,27000000
Kiribati,1994,76700
Kuwait,1994,1660000
Kyrgyz Republic,1994,4520000
Lao,1994,4740000
Latvia,1994,2540000
Lebanon,1994,3400000
Lesotho,1994,1860000
Liberia,1994,1990000
Libya,1994,4850000
Liechtenstein,1994,30400
Lithuania,1994,3650000
Luxembourg,1994,402000
Madagascar,1994,13100000
Malawi,1994,9750000
Malaysia,1994,20000000
Maldives,1994,249000
Mali,1994,9330000
Malta,1994,374000
Marshall Islands,1994,50200
Mauritania,1994,2260000
Mauritius,1994,1110000
Mexico,1994,90200000
"Micronesia, Fed. Sts.",1994,106000
Moldova,1994,4360000
Monaco,1994,30400
Mongolia,1994,2280000
Montenegro,1994,620000
Morocco,1994,26600000
Mozambique,1994,14900000
Myanmar,1994,43400000
Namibia,1994,1590000
Nauru,1994,10500
Nepal,1994,21000000
Netherlands,1994,15400000
New Zealand,1994,3620000
Nicaragua,1994,4560000
Niger,1994,9170000
Nigeria,1994,105000000
North Korea,1994,21600000
North Macedonia,1994,1980000
Norway,1994,4340000
Oman,1994,2150000
Pakistan,1994,120000000
Palau,1994,16700
Palestine,1994,2500000
Panama,1994,2680000
Papua New Guinea,1994,5070000
